900	587 27069 922978 741 74 2 2 
950	551 25983 871154 683 55 1 1  
1000	651 45633 15917240 776 69 15 1 
1000	617 45226 16406234 755 66 17 4  
1025	576 60056 2619906 736 62 30 4 
1050 	592 74193 13270055 803 63 35 6
1075	587 96354 3569535 692 63 44 10
1100	612 143777 361376 782 70 53 23 
1125	576 267931 4702569 653 59 46 29 
1150	661 492619 8886354 755 64 55 40 
1175	585 723399 13040851 721 66 52 45
1200	616 923688 1890121 763 65 53 50 
1200	576 918483 7671547 741 53 47 43 
1200	612 910493 2997724 726 55 48 46  
1225	565 1104455 13826933 720 56 45 45 
1250	585 1145217 5672267 756 54 45 41
1250	623 1143228 3439518 762 71 58 56 
1275	639 1264302 8926040 671 53 47 45 
1300	623 1259128 2988034 73 58 48 52 
1300	597 1243859 15576143 752 78 59 66 
1300	587 1243282 15538566 691 62 56 46 
1325	625 1362885 6019441 709 53 47 45 
1350	597 1319320 2413659 734 81 70 74 
1375	593 1439963 472060 703 72 60 63 
1400	656 1415093 1093933 796 74 67 71
1400	600 1382531 2107219 757 74 63 72 
1425	641 1517361 1859305 727 74 65 72  
1450	674 1542210 16410575 729 91 85 90
1475	633 1586687 15155689 799 71 61 71 
