Dati presi il 23 maggio

-------------- Rivelatori con asse orientato in direzione NORD-SUD --------------

N.B. Angoli est   --> positivi
N.B. Angoli ovest --> negativi	

theta = 0°

 I prova
395614 92476 8202 
452729 105640 9400 
508730 118310 10494 
565755 131322 11642 
620771 144134 12730 
678073 157554 13994 
734773 171393 15207 
790913 185208 16380 
847788 198955 17691 
905065 211989 18894 
961594 224758 20056 
1017265 238586 21268

theta = -50°

68136 10743 644 
136495 22923 1548 
204061 35443 2429 
272481 48184 3549 
340707 61762 4672 
408533 75227 5911 
476752 88197 6959 
544823 101678 8005 
613030 115166 9236 
682095 128667 10443 
750243 142522 11525 
818390 155732 12547 
886371 169365 13646 
954616 182991 14814 
1022956 196425 15999 
1091002 209623 17105 
1159243 223343 18184 
1227958 237053 19349 

theta = -60°

 I prova
71572 13993 345 
143331 28048 757 
215194 41943 1096 
287001 56092 1483 
359050 70339 1905 
430621 83967 2267 
502743 97908 2648 
574777 111878 2987 
647137 125969 3376 
718359 140182 3779 
791167 154827 4208 
863918 168703 4545 
936582 182887 4943 
1008899 197066 5336 
1081833 211566 5770 
1154483 225782 6167 
1227476 240007 6556 
1300034 254480 6895 

 II prova
72757 15161 396 
145032 29866 792 
216947 44667 1121 
288907 59502 1499 
360715 74105 1872 
432628 88708 2184 
504477 103465 2575 
576136 118212 2938 
647320 132640 3331 
719528 147466 3755 
790336 162458 4105 
863326 177722 4505 
935071 192978 4866 
1006906 207910 5253 
1078452 222661 5589 
1149821 237612 5958 
1221584 252271 6340 
1293804 266944 6731  

theta = -70°

80951 14889 331 
161403 29744 621 
242670 44463 986 
323314 59562 1313 
403321 74654 1655 
483085 89527 2016 
563578 104754 2340 
644035 119974 2670 
723222 135024 3009 
803291 149880 3325 
883284 165113 3640 
963695 180122 3924 
1043442 194922 4252 
1123756 209977 4583 
1204659 224990 4888 
1285493 240015 5236 
1365001 255191 5605 
1445674 270201 5965 

theta = -80°

95329 10879 296 
190510 22236 586 
284537 33722 860 
379861 45070 1188 
474504 56255 1504 
569908 67648 1807 
665861 79082 2098 
762044 90090 2420 
856880 101353 2754 
951938 112627 3055 
1047317 124011 3368 
1142597 135850 3676 
1238811 148066 4007 
1334991 159639 4370 
1429951 170969 4646 
1525677 182431 4951 
1621163 193861 5244 
1712676 205217 5536

theta = -90°

96858 12579 282 
193749 25140 560 
291285 37711 826 
389967 50758 1106 
490854 64914 1409 
594058 79742 1698 
698473 95303 2008 
801166 110387 2319 
903661 125726 2622 
1006328 141394 2922 
1107883 156618 3144 
1209111 170142 3447 
1307930 183128 3704 
1405842 195519 3950 
1504446 208061 4296 
1603352 221260 4570 
1702476 233959 4857 
1801608 246426 5104  

-------------- Rivelatori con asse orientato in direzione EST-OVEST --------------

N.B. Angoli nord --> negativi	
N.B. Angoli sud  --> positivi

theta = 0°

 I prova
55854 16377 1014 
111572 32706 2031 
168051 48964 3078 
224419 65391 4228 
279539 81671 5238 
335799 98089 6325 
391551 114448 7337 
447398 130775 8275 
503305 147536 9353 
559300 163927 10461 
