850 	583 4395 18363 614 51 1 0  
900	574 11035 588709 677 60 7 0  
950 	563 23926 3015819 712 71 23 0 
1000	568 46682 9375931 660 59 37 4  
1000 	570 44206 9545066 708 53 21 0  
1050	590 73245 7904631 630 73 42 7  
1050	554 74652 8638492 677 47 16 1  
1050	586 75144 8498102 681 64 29 4  
1100	560 121935 8821544 655 55 16 9  
1100	583 122641 11176410 720 61 26 9  
1150	591 347977 8749004 738 79 28 36 
1150	592 339380 11502570 681 63 26 29  
1200	584 810802 12297929 703 74 33 49  
1200 	581 796634 12462394 687 68 29 47  
1250	601 1070255 5443828 696 60 21 48  

