11.2184	2.88215	9.5
40.9046	4.27916	38.2
99.2056	3.33221	97.15
172.881	2.24794	171.5

11.2111	2.81618	9.5
11.2102	2.81483	9.5
11.2107	2.8158	9.5
11.2169	2.86162	9.5
11.217	2.86507	9.5
40.9101	4.27601	38.2
40.9108	4.27621	38.2
40.9096	4.27656	38.2
99.2682	3.34377	97.2
40.9107	4.27618	38.2
40.9107	4.27794	38.2
172.889	2.25575	171.5
172.889	2.2563	171.5
172.879	2.24543	171.5
172.879	2.24552	171.5
172.88	2.2455	171.5
172.881	2.24726	171.5
172.881	2.24937	171.5
99.2049	3.33058	97.15
99.2058	3.33255	97.15
172.88	2.24608	171.5
172.88	2.24686	171.5
40.2247	2.52006	38.2
40.9053	4.27905	38.2
40.9041	4.27736	38.2
11.2121	2.83351	9.5
11.2182	2.88174	9.5
11.2188	2.88409	9.5
11.2182	2.88275	9.5
11.2185	2.88323	9.5
40.9048	4.27834	38.2
99.2044	3.32854	97.15
172.88	2.24643	171.5
172.881	2.24844	171.5
40.905	4.27934	38.2
99.2049	3.33002	97.15
11.219	2.88422	9.5
99.2069	3.33432	97.15
11.2186	2.88295	9.5
99.2055	3.33127	97.15
99.2055	3.33196	97.15
11.2182	2.88201	9.5
40.9045	4.27752	38.2
172.88	2.24673	171.5
172.88	2.24741	171.5
172.88	2.24676	171.5
172.881	2.24892	171.5
34.6903	4.24067	32
34.6903	4.23902	32
172.88	2.24722	171.5
